market,name,code,scode
KOSDAQ,파인엠텍,KR7441270006,441270
KOSDAQ,파인테크닉스,KR7106240005,106240
KOSDAQ,파인텍,KR7131760001,131760
KOSDAQ,파커스,KR7065690000,065690
KOSDAQ,파크시스템스,KR7140860008,140860
KOSDAQ GLOBAL,파트론,KR7091700005,091700
KONEX,판도라티비,KR7202960001,202960
KOSDAQ,판타지오,KR7032800005,032800
KOSDAQ,팜스빌,KR7318010006,318010
KOSPI,팜스코,KR7036580009,036580
KOSDAQ,팜스토리,KR7027710003,027710
KOSPI,팜젠사이언스,KR7004720009,004720
KONEX,팡스카이,KR7266350008,266350
KOSDAQ,패션플랫폼,KR7225590009,225590
KOSDAQ,팬스타엔터프라이즈,KR7054300009,054300
KOSDAQ,팬엔터테인먼트,KR7068050004,068050
KOSPI,팬오션,KR7028670008,028670
KOSDAQ,팬젠,KR7222110009,222110
KOSDAQ,팸텍,KR7271830002,271830
KOSPI,퍼스텍,KR7010820009,010820
KOSPI,퍼시스,KR7016800005,016800
KOSDAQ GLOBAL,펄어비스,KR7263750002,263750
KOSDAQ,펌텍코리아,KR7251970000,251970
KOSPI,페이퍼코리아,KR7001020007,001020
KONEX,펨토바이오메드,KR7327610002,327610
KOSDAQ,펨트론,KR7168360006,168360
KOSDAQ,펩트론,KR7087010005,087010
KOSPI,평화산업,KR7090080003,090080
KOSPI,평화홀딩스,KR7010770006,010770
KOSDAQ,포니링크,KR7064800006,064800
KOSDAQ,포메탈,KR7119500007,119500
KOSDAQ,포바이포,KR7389140005,389140
KOSDAQ,포스뱅크,KR7105760003,105760
KOSPI,포스코DX,KR7022100002,022100
KOSPI,포스코스틸리온,KR7058430000,058430
KOSPI,포스코인터내셔널,KR7047050000,047050
KOSPI,포스코퓨처엠,KR7003670007,003670
KOSPI,POSCO홀딩스,KR7005490008,005490
KOSDAQ,포시에스,KR7189690001,189690
KOSDAQ,포인트모바일,KR7318020005,318020
KOSDAQ,포인트엔지니어링,KR7256630005,256630
KOSDAQ,포커스에이치엔에스,KR7331380006,331380
KOSDAQ,폰드그룹,KR7472850007,472850
KOSDAQ,폴라리스세원,KR7234100006,234100
KOSDAQ,폴라리스AI,KR7039980008,039980
KOSDAQ,폴라리스AI파마,KR7041910001,041910
KOSDAQ,폴라리스오피스,KR7041020009,041020
KOSDAQ,폴라리스우노,KR7114630007,114630
KOSDAQ,푸드나무,KR7290720002,290720
KOSDAQ,푸드웰,KR7005670005,005670
KOSDAQ,푸른기술,KR7094940004,094940
KOSDAQ,푸른저축은행,KR7007330004,007330
KOSDAQ,푸른소나무,KR7057880007,057880
KOSPI,풀무원,KR7017810003,017810
KOSDAQ,풍강,KR7093380004,093380
KOSDAQ,풍국주정,KR7023900004,023900
KOSPI,풍산,KR7103140000,103140
KOSPI,풍산홀딩스,KR7005810007,005810
KOSDAQ,풍원정밀,KR7371950007,371950
KOSDAQ,퓨런티어,KR7370090003,370090
KOSDAQ,퓨릿,KR7445180003,445180
KOSDAQ,퓨처코어,KR7151910007,151910
KONEX,퓨쳐메디신,KR7341170009,341170
KOSDAQ,퓨쳐켐,KR7220100002,220100
KOSDAQ,프럼파스트,KR7035200005,035200
KOSDAQ,프레스티지바이오로직스,KR7334970001,334970
KOSPI,프레스티지바이오파마,KR8702070002,950210
KOSDAQ,프로이천,KR7321260002,321260
KONEX,프로젠,KR7296160005,296160
KOSDAQ,프로텍,KR7053610002,053610
KOSDAQ,프로티아,KR7303360002,303360
KOSDAQ,프롬바이오,KR7377220009,377220
KOSDAQ,프리시젼바이오,KR7335810008,335810
KOSDAQ,프리엠스,KR7053160008,053160
KOSDAQ,플라즈맵,KR7405000001,405000
KOSDAQ,플래스크,KR7041590001,041590
KOSDAQ,플래티어,KR7367000007,367000
KOSDAQ,플랜티넷,KR7075130005,075130
KONEX,플럼라인생명과학,KR7222670002,222670
KOSPI,플레이그램,KR7009810003,009810
KOSDAQ,플레이디,KR7237820006,237820
KOSDAQ,플레이위드,KR7023770001,023770
KOSDAQ,플루토스,KR7019570001,019570
KOSDAQ,플리토,KR7300080009,300080
KOSDAQ,피노,KR7033790007,033790
KOSDAQ,피델릭스,KR7032580003,032580
KOSDAQ,피씨디렉트,KR7051380004,051380
KOSDAQ,피씨엘,KR7241820000,241820
KOSDAQ,피아이이,KR7452450000,452450
KOSPI,PI첨단소재,KR7178920005,178920
KOSDAQ,피앤씨테크,KR7237750005,237750
KOSDAQ,피앤에스미캐닉스,KR7460940000,460940
KOSDAQ GLOBAL,피에스케이,KR7319660007,319660
KOSDAQ,피에스케이홀딩스,KR7031980006,031980
KOSDAQ,피에스텍,KR7002230001,002230
KOSDAQ,피에이치에이,KR7043370006,043370
KOSDAQ,피엔에이치테크,KR7239890007,239890
KOSDAQ,피엔케이피부임상연구센타,KR7347740003,347740
KOSDAQ GLOBAL,피엔티,KR7137400008,137400
KOSDAQ,피엔티엠에스,KR7257370007,257370
KOSDAQ,PN풍년,KR7024940009,024940
KOSDAQ,피엠티,KR7147760003,147760
KOSDAQ,피제이메탈,KR7128660008,128660
KOSDAQ,피제이전자,KR7006140008,006140
KOSDAQ,피코그램,KR7376180006,376180
KOSDAQ,피플바이오,KR7304840002,304840
KOSDAQ,픽셀플러스,KR7087600003,087600
KOSDAQ,핀텔,KR7291810000,291810
KOSDAQ,필에너지,KR7378340004,378340
KOSDAQ,필옵틱스,KR7161580006,161580
KOSDAQ,핌스,KR7347770000,347770
KOSDAQ,핑거,KR7163730005,163730
KOSDAQ,핑거스토리,KR7417180007,417180
KOSDAQ,하나26호스팩,KR7446750002,446750
KOSDAQ,하나27호스팩,KR7448370007,448370
KOSDAQ,하나28호스팩,KR7454750001,454750
KOSDAQ,하나29호스팩,KR7454640004,454640
KOSDAQ,하나30호스팩,KR7469880009,469880
KOSDAQ,하나31호스팩,KR7469900005,469900
KOSDAQ,하나32호스팩,KR7475240008,475240
KOSDAQ,하나33호스팩,KR7475250007,475250
KOSDAQ,하나34호스팩,KR7484130000,484130
KOSDAQ,하나금융25호스팩,KR7435620000,435620
KOSPI,하나금융지주,KR7086790003,086790
KOSDAQ,하나기술,KR7299030007,299030
KOSDAQ,하나마이크론,KR7067310003,067310
KOSDAQ GLOBAL,하나머티리얼즈,KR7166090001,166090
KOSPI,하나제약,KR7293480000,293480
KOSPI,하나투어,KR7039130000,039130
KOSDAQ,하림,KR7136480001,136480
KOSDAQ GLOBAL,하림지주,KR7003380003,003380
KOSDAQ,하스,KR7450330006,450330
KOSDAQ,하이드로리튬,KR7101670008,101670
KOSDAQ,하이딥,KR7365590009,365590
KOSDAQ,하이로닉,KR7149980005,149980
KOSDAQ,하이록코리아,KR7013030002,013030
KOSPI,하이브,KR7352820005,352820
KOSDAQ,하이비젼시스템,KR7126700004,126700
KOSDAQ,하이소닉,KR7106080005,106080
KOSPI,하이스틸,KR7071090005,071090
KOSDAQ,하이제8호스팩,KR7450050000,450050
KOSDAQ,하이젠알앤엠,KR7160190005,160190
KOSDAQ,하이즈항공,KR7221840002,221840
KOSDAQ,하이텍팜,KR7106190002,106190
KOSPI,하이트진로2우B,KR7000082008,000087
KOSPI,하이트진로,KR7000080002,000080
KOSPI,하이트진로홀딩스우,KR7000141002,000145
KOSPI,하이트진로홀딩스,KR7000140004,000140
KOSDAQ,하이퍼코퍼레이션,KR7065650004,065650
KOSDAQ,하츠,KR7066130006,066130
KOSDAQ,한국가구,KR7004590006,004590
KOSPI,한국가스공사,KR7036460004,036460
KOSDAQ,한국경제TV,KR7039340005,039340
KOSPI,한국공항,KR7005430004,005430
KOSDAQ,한국기업평가,KR7034950006,034950
KOSPI,한국내화,KR7010040004,010040
KOSPI,한국단자,KR7025540006,025540
KOSDAQ,한국맥널티,KR7222980005,222980
KOSPI,한국무브넥스,KR7010100006,010100
KONEX,한국미라클피플사,KR7331660001,331660
KOSDAQ,한국비엔씨,KR7256840000,256840
KOSDAQ,한국비티비,KR7219750007,219750
KOSPI,한국석유,KR7004090007,004090
KOSDAQ,한국선재,KR7025550005,025550
KOSPI,한국수출포장,KR7002200004,002200
KOSPI,한국쉘석유,KR7002960003,002960
KOSDAQ,한국알콜,KR7017890005,017890
KOSPI,한국앤컴퍼니,KR7000240002,000240
KOSPI,유나이티드제약,KR7033270000,033270
KOSDAQ,한국유니온제약,KR7080720006,080720
KOSPI,한국자산신탁,KR7123890006,123890
KOSPI,한국전력,KR7015760002,015760
KOSPI,한전기술,KR7052690005,052690
KOSDAQ,한국전자금융,KR7063570006,063570
KOSDAQ,한국전자인증,KR7041460007,041460
KOSPI,한국전자홀딩스,KR7006200000,006200
KOSDAQ,한국정밀기계,KR7101680007,101680
KOSDAQ,한국정보공학,KR7039740006,039740
KOSDAQ,한국정보인증,KR7053300000,053300
KOSDAQ,한국정보통신,KR7025770009,025770
KOSDAQ,한국제12호스팩,KR7458610003,458610
KOSDAQ,한국제13호스팩,KR7464440007,464440
